index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
206,Thodi Der,"Farhan Saeed, Shreya Ghoshal",BollywoodSad,Half Girlfriend,9.4/10
207,Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",BollywoodDance,Har Dil Jo Pyar Karega,8.4/10
208,Raabta,Nikhita Gandhi,BollywoodRomantic,Raabta,9.0/10
209,Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",BollywoodDance,Tubelight,9.1/10
210,Janam Janam,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,9.4/10
211,Andha Dhun,Raftaar,BollywoodDance,Andha Dhun,9.6/10
212,Holi Biraj Ma,Jubin Nautiyal,BollywoodDance,Genius,9.3/10
213,Kal Ho Naa Ho Title Track,Sonu Nigam,BollywoodSad,Kal Ho Naa Ho,9.5/10
214,Enna Sona,"A.R. Rahman, Arijit Singh",BollywoodRomantic,Ok Jaanu,9.5/10
215,Little Little,Harrdy Sandhu,BollywoodDance,Yamla Pagla Deewana Phir Se,9.2/10
216,Maa Sherawaliye,Sonu Nigam,Bollywood,Khiladiyon Ka Khiladi,7.6/10
217,Disco Disco,"Benny Dayal, Shirley Setia",BollywoodDance,A Gentleman,8.9/10
218,Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",BollywoodSad,Raabta,9.6/10
219,Aahista,"Arijit Singh, Jonita Gandhi",BollywoodRomantic,Laila Majnu,9.4/10
220,Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4/10
221,Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Andaaz,8.6/10
222,Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4/10
223,Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju,9.6/10
224,Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",BollywoodMotivational,Sultan,8.9/10
225,Radio,"Amit Mishra, Kamaal khan",BollywoodDance,Tubelight,8.6/10
226,Sab Badhiya Hai,Sukhwinder Singh,BollywoodDance,Sui Dhaaga,9.2/10
227,Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",BollywoodDance,Happy Phirr Bhaag Jayegi,8.7/10
228,Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",BollywoodDance,A Flying Jatt,8.9/10
229,Jag Ghoomeya,Rahat Fateh Ali Khan,BollywoodRomantic,Sultan,8.7/10
230,Jogi,"Aakanksha Sharma, Yasser Desai",BollywoodRomantic,Shaadi Mein Zaroor Aana,9.6/10
231,Lets Nacho,"Badshah, Benny Dayal",BollywoodDance,Kapoor & Sons,9.2/10
232,Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Yeh Vaada Raha,9.2/10
233,Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",BollywoodDance,Yeh Vaada Raha,9.2/10
234,Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",BollywoodDance,ABCD 2,9.4/10
235,Jeene Laga Hoon,Atif Aslam,BollywoodRomantic,Ramaiya Vastavaiya,9.0/10
236,Nit Khair Manga,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,9.4/10
237,Jitni Dafa,"Jeet Gannguli, Yasser Desai",BollywoodRomantic,Parmanu The Story of Pokhran,9.7/10
238,Wajah Tum Ho,Armaan Malik,BollywoodRomanticSensual,Hate Story 3,8.8/10
239,Rozana,Shreya Ghoshal,BollywoodRomantic,Naam Shabana,9.6/10
240,Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",BollywoodRomanticSad,Namaste England,9.4/10
241,Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",BollywoodDance,Dil Dhadakne Do,8.9/10
242,Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,9.4/10
243,Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys,9.0/10
244,Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys,9.0/10
245,Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",BollywoodRomantic,Andha Dhun,9.5/10
246,Socha Hai,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Baadshaho,9.5/10
247,Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",BollywoodSad,Creature 3D,9.3/10
248,Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi,9.7/10
249,Main Woh Chaand,Darshan Raval,BollywoodRomanticSad,Teraa Surroor,9.0/10
250,Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Dulhe Raja,8.2/10
251,Jab Tak,"Amaal Mallik, Armaan Malik",BollywoodRomantic,M.S. Dhoni,9.4/10
252,Luv Letter,"Kanika Kapoor, Meet Bros",BollywoodDance,The Legend of Michael Mishra,9.1/10
253,Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",Bollywood,Jagga Jasoos,8.8/10
254,Yaad Hai Na,Arijit Singh,BollywoodRomantic,Raaz Reboot,9.1/10
255,Balma,"Rekha Bhardwaj, Sunidhi Chauhan",BollywoodDance,Pataakha,9.2/10
256,Kisi Se Pyar Ho Jaye,Jubin Nautiyal,BollywoodDanceRomantic,Kaabil,9.2/10
257,Sau Aasmaan,"Armaan Malik, Neeti Mohan",BollywoodDance,Baar Baar Dekho,9.4/10
